
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="comp_mle1",="comp_mle2",="correctt1",="correctt2",="correctt3",="antibiotic1",="antibiotic2",="antibiotic3"

="Nurse",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="Clinical Officer",="0.281***",="0.281***",="0.0448***",="0.0442***",="0",="-0.0268**",="0.00330",="0"
="",="(0.029)",="(0.050)",="(0.009)",="(0.012)",="(.)",="(0.012)",="(0.015)",="(.)"

="Doctor",="0.628***",="0.554***",="0.104***",="0.115***",="0",="0.0185",="0.0156",="0"
="",="(0.036)",="(0.056)",="(0.009)",="(0.012)",="(.)",="(0.011)",="(0.016)",="(.)"

="provider_agedisc",="-0.00899***",="-0.00793***",="-0.000602**",="-0.000790**",="0",="-0.00136***",="-0.00210***",="0"
="",="(0.001)",="(0.002)",="(0.000)",="(0.000)",="(.)",="(0.000)",="(0.001)",="(.)"

="Health Post",="0",="",="0",="",="",="0",="",=""
="",="(.)",="",="(.)",="",="",="(.)",="",=""

="Health Center",="0.247***",="",="-0.0349***",="",="",="-0.0174*",="",=""
="",="(0.030)",="",="(0.008)",="",="",="(0.011)",="",=""

="Hospital",="0.389***",="",="0.0202**",="",="",="0.0306**",="",=""
="",="(0.036)",="",="(0.009)",="",="",="(0.012)",="",=""

="Rural",="0",="",="0",="",="",="0",="",=""
="",="(.)",="",="(.)",="",="",="(.)",="",=""

="Urban",="-0.0150",="",="-0.0180***",="",="",="-0.0186**",="",=""
="",="(0.027)",="",="(0.007)",="",="",="(0.009)",="",=""

="Public",="0",="",="0",="",="",="0",="",=""
="",="(.)",="",="(.)",="",="",="(.)",="",=""

="Private",="-0.000919",="",="-0.0297***",="",="",="-0.0149",="",=""
="",="(0.031)",="",="(0.008)",="",="",="(0.011)",="",=""

="Constant",="0.156***",="0.347***",="0.476***",="0.460***",="0.468",="0.342***",="0.352***",="0.274"
="",="(0.050)",="(0.079)",="(0.013)",="(0.015)",="(.)",="(0.017)",="(0.024)",="(.)"

="Observations",="5283",="5470",="35833",="37122",="37122",="12510",="13029",="13029"
="R2",="0.258",="0.816",="0.055",="0.180",="0.238",="0.055",="0.320",="0.456"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
